X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area
4,4,sep,wed,4.511957804,82.9,735.7,1.974081026,12.9,74,4.9,False,0.0
5,6,sep,wed,4.557029811,85.1,692.3,2.827313622,25.9,24,4.0,False,0.0
5,6,sep,mon,4.520701029,126.5,686.5,2.079441542,14.7,70,3.6,False,0.0
6,6,jul,mon,4.555979942,62.3,442.9,2.48490665,23.0,36,3.1,False,0.0
4,4,mar,mon,4.479606963,23.9,64.7,1.62924054,11.8,35,1.8,False,0.0
4,4,mar,mon,4.484131858,52.2,103.8,1.791759469,11.0,46,5.8,False,0.0
4,4,sep,thu,4.542230386,137.0,706.4,2.32238772,20.8,17,1.3,False,0.0
4,3,aug,sun,4.513054897,99.6,631.2,1.987874348,21.5,34,2.2,False,0.0
4,3,aug,wed,4.533674184,111.2,654.1,2.360854001,20.4,42,4.9,False,0.0
4,3,aug,wed,4.533674184,111.2,654.1,2.360854001,20.4,42,4.9,False,0.0
4,3,aug,thu,4.529368473,114.3,661.3,1.987874348,17.6,45,3.6,False,0.0
4,3,sep,thu,4.542230386,137.0,706.4,2.32238772,27.7,24,2.2,False,0.0
4,3,sep,tue,4.514150788,80.7,730.2,1.987874348,17.8,63,4.9,False,0.0
4,3,oct,sun,4.539030383,46.5,691.8,2.282382386,13.8,50,2.7,False,0.0
2,2,feb,mon,4.442651256,9.3,34.0,1.131402111,13.9,40,5.4,False,0.0
2,2,feb,fri,4.472780998,13.2,43.0,1.840549633,12.3,51,0.9,False,0.0
2,2,mar,sun,4.50313746,51.3,102.2,2.360854001,11.5,39,5.8,False,0.0
2,2,mar,sun,4.50313746,51.3,102.2,2.360854001,5.5,59,6.3,False,0.0
2,2,aug,thu,4.543294782,75.3,466.6,2.163323026,18.8,35,4.9,False,0.0
2,2,aug,sun,4.513054897,99.6,631.2,1.987874348,20.8,33,2.7,False,0.0
2,2,aug,mon,4.522874943,103.2,638.8,1.916922612,23.1,31,3.1,False,0.0
2,2,aug,thu,4.529368473,114.3,661.3,1.987874348,18.6,44,4.5,False,0.0
2,2,sep,fri,4.536891345,117.9,668.0,2.58021683,23.0,37,4.5,False,0.0
2,2,sep,fri,4.536891345,117.9,668.0,2.58021683,19.6,33,5.4,False,0.0
2,2,sep,fri,4.536891345,117.9,668.0,2.58021683,19.6,33,6.3,False,0.0
4,5,mar,fri,4.529368473,33.3,77.5,2.302585093,17.2,26,4.5,False,0.0
4,5,mar,fri,4.523960131,48.3,97.8,2.602689685,15.8,27,7.6,False,0.0
4,5,sep,fri,4.557029811,85.1,692.3,2.827313622,17.7,37,3.6,False,0.0
5,4,mar,fri,4.529368473,33.3,77.5,2.302585093,15.6,25,6.3,False,0.0
5,4,aug,tue,4.497584975,147.3,614.5,2.302585093,17.3,43,4.5,False,0.0
5,4,sep,fri,4.54648119,141.2,713.9,2.701361213,27.6,30,1.3,False,0.0
9,9,feb,thu,4.445001434,6.8,26.6,2.163323026,6.7,79,3.1,False,0.0
9,9,feb,fri,4.472780998,13.2,43.0,1.840549633,15.7,43,3.1,False,0.0
1,3,mar,mon,4.484131858,52.2,103.8,1.791759469,8.3,72,3.1,False,0.0
1,2,aug,fri,4.511957804,108.0,529.8,2.602689685,14.7,66,2.7,False,0.0
1,2,aug,tue,4.521788577,121.2,561.6,2.079441542,21.6,19,6.7,False,0.0
1,2,aug,sun,4.526126979,142.4,601.4,2.451005098,19.5,39,6.3,False,0.0
1,2,aug,sun,4.513054897,99.6,631.2,1.987874348,17.9,44,2.2,False,0.0
1,2,aug,tue,4.562262685,108.3,647.1,2.890371758,18.6,51,4.5,False,0.0
1,2,aug,wed,4.533674184,111.2,654.1,2.360854001,16.6,47,0.9,False,0.0
1,2,aug,thu,4.529368473,114.3,661.3,1.987874348,20.2,45,3.6,False,0.0
1,2,sep,thu,4.542230386,137.0,706.4,2.32238772,21.5,15,0.9,False,0.0
1,2,sep,thu,4.542230386,137.0,706.4,2.32238772,25.4,27,2.2,False,0.0
1,2,sep,thu,4.542230386,137.0,706.4,2.32238772,22.4,34,2.2,False,0.0
1,2,sep,sun,4.548599834,149.3,728.6,2.208274414,25.3,36,3.6,False,0.0
6,5,mar,sat,4.529368473,35.8,80.8,2.174751721,17.4,25,4.9,False,0.0
6,5,aug,sat,4.513054897,96.9,624.2,2.292534757,14.7,59,5.8,False,0.0
8,6,mar,fri,4.529368473,35.8,80.8,2.174751721,17.4,24,5.4,False,0.0
8,6,aug,sun,4.535820108,85.3,488.0,2.753660712,20.8,32,6.3,False,0.0
8,6,aug,sun,4.526126979,142.4,601.4,2.451005098,18.2,43,4.9,False,0.0
8,6,aug,mon,4.522874943,103.2,638.8,1.916922612,23.4,22,2.7,False,0.0
4,4,sep,sun,4.507557357,90.0,704.4,1.757857918,17.8,64,1.3,False,0.0
3,4,feb,sat,4.441474093,8.0,30.2,1.280933845,12.7,48,1.8,False,0.0
3,4,aug,sun,4.526126979,142.4,601.4,2.451005098,11.6,87,4.5,False,0.0
3,4,aug,sun,4.526126979,142.4,601.4,2.451005098,19.8,39,5.4,False,0.0
3,4,aug,sun,4.526126979,142.4,601.4,2.451005098,19.8,39,5.4,False,0.0
3,4,aug,tue,4.497584975,147.3,614.5,2.302585093,14.4,66,5.4,False,0.0
2,4,aug,tue,4.562262685,108.3,647.1,2.890371758,20.1,40,4.0,False,0.0
2,4,sep,sat,4.537961436,121.1,674.4,2.261763098,24.1,29,4.5,False,0.0
2,4,jan,sat,4.420044702,3.7,9.3,1.360976553,5.3,78,3.1,False,0.0
4,5,mar,fri,4.464758032,19.5,57.3,1.335001067,12.7,52,6.3,False,0.0
4,5,mar,thu,4.526126979,30.7,74.3,2.140066163,18.2,29,3.1,False,0.0
4,5,aug,sun,4.513054897,99.6,631.2,1.987874348,21.4,33,3.1,False,0.0
4,5,sep,sat,4.537961436,88.0,698.6,2.091864062,20.3,45,3.1,False,0.0
4,5,sep,mon,4.49535532,91.8,709.9,2.091864062,17.4,56,5.4,False,0.0
4,4,mar,fri,4.464758032,19.5,57.3,1.335001067,13.7,43,5.8,False,0.0
3,4,mar,fri,4.529368473,33.3,77.5,2.302585093,18.8,18,4.5,False,0.0
3,4,sep,sun,4.507557357,90.0,704.4,1.757857918,22.8,39,3.6,False,0.0
3,4,sep,mon,4.53044664,78.5,724.3,2.32238772,18.9,35,2.7,False,0.0
3,4,mar,tue,4.489759334,25.7,67.6,1.568615918,15.8,27,7.6,False,0.0
3,5,mar,tue,4.489759334,25.7,67.6,1.568615918,15.5,27,6.3,False,0.0
3,4,mar,sat,4.529368473,35.8,80.8,2.174751721,11.6,30,6.3,False,0.0
3,4,mar,sat,4.529368473,35.8,80.8,2.174751721,15.2,27,4.9,False,0.0
3,4,mar,mon,4.511957804,39.7,86.6,1.974081026,10.6,30,4.0,False,0.0
3,4,aug,thu,4.543294782,75.3,466.6,2.163323026,19.6,36,3.1,False,0.0
3,4,aug,mon,4.527208645,145.4,608.2,2.459588842,10.3,74,2.2,False,0.0
3,4,aug,mon,4.527208645,145.4,608.2,2.459588842,17.1,43,5.4,False,0.0
3,4,sep,sun,4.536891345,124.1,680.7,2.251291799,22.5,42,5.4,False,0.0
3,4,sep,tue,4.447346101,73.4,671.9,1.435084525,17.9,45,3.1,False,0.0
3,4,sep,fri,4.557029811,85.1,692.3,2.827313622,19.8,50,5.4,False,0.0
3,4,oct,sun,4.539030383,46.5,691.8,2.282382386,20.6,24,5.4,False,0.0
3,5,mar,mon,4.484131858,52.2,103.8,1.791759469,9.0,49,2.2,False,0.0
3,5,sep,fri,4.548599834,149.3,728.6,2.208274414,17.2,43,3.1,False,0.0
3,5,oct,wed,4.526126979,37.9,673.8,1.824549292,15.9,46,3.6,False,0.0
2,5,oct,sun,4.539030383,46.5,691.8,2.282382386,15.4,35,0.9,False,0.0
4,6,mar,mon,4.479606963,23.9,64.7,1.62924054,14.0,39,3.1,False,0.0
4,6,mar,sun,4.50313746,51.3,102.2,2.360854001,10.6,46,4.9,False,0.0
4,6,sep,thu,4.550714,80.9,685.2,2.939161922,17.6,42,3.1,False,0.0
3,5,mar,tue,4.489759334,25.7,67.6,1.568615918,14.9,38,2.7,False,0.0
3,5,aug,sat,4.548599834,139.4,594.2,3.058707073,17.6,52,5.8,False,0.0
3,6,sep,sun,4.536891345,124.1,680.7,2.251291799,17.2,58,1.3,False,0.0
3,6,sep,mon,4.520701029,126.5,686.5,2.079441542,15.6,66,3.1,False,0.0
9,9,jul,tue,4.463606622,48.3,313.4,1.589235205,18.0,42,2.7,False,0.3074846997
1,4,sep,tue,4.521788577,129.5,692.6,2.079441542,21.7,38,2.2,False,0.3576744443
2,5,sep,mon,4.520701029,126.5,686.5,2.079441542,21.9,39,1.8,False,0.3852624008
1,2,aug,wed,4.569543008,99.9,513.3,2.653241965,23.3,31,4.5,False,0.4382549309
8,6,aug,fri,4.511957804,108.0,529.8,2.602689685,21.2,51,8.9,False,0.476234179
1,2,jul,sat,4.510859507,51.3,296.3,2.272125886,16.6,53,5.4,False,0.5364933705
2,5,aug,wed,4.569543008,99.9,513.3,2.653241965,23.8,32,5.4,False,0.5709795466
6,5,aug,thu,4.566429358,131.7,578.8,2.433613355,27.4,22,4.0,False,0.6418538862
5,4,mar,mon,4.511957804,39.7,86.6,1.974081026,13.2,40,5.4,False,0.6678293726
8,3,sep,tue,4.447346101,73.4,671.9,1.435084525,24.2,28,3.6,False,0.6729444732
2,2,aug,tue,4.562262685,108.3,647.1,2.890371758,17.4,43,6.7,False,0.7275486073
8,6,sep,thu,4.550714,80.9,685.2,2.939161922,23.7,25,4.5,False,0.7514160887
6,5,jun,fri,4.537961436,56.4,433.3,2.091864062,23.2,39,5.4,False,0.7839015438
9,9,jul,sun,4.511957804,68.6,355.2,2.104134154,24.8,29,2.2,False,0.858661619
3,4,jul,sat,4.511957804,51.2,424.1,1.974081026,24.6,43,1.8,False,0.8878912574
5,4,sep,fri,4.557029811,85.1,692.3,2.827313622,20.1,47,4.9,False,0.9001613499
1,5,sep,sat,4.547541073,145.4,721.4,2.208274414,29.6,27,2.7,False,0.9001613499
7,4,aug,sun,4.562262685,108.3,647.1,2.890371758,16.4,47,1.3,False,0.9400072585
2,4,sep,sat,4.547541073,145.4,721.4,2.208274414,28.6,27,2.2,False,0.9593502213
2,2,aug,wed,4.533674184,111.2,654.1,2.360854001,18.4,45,3.6,False,0.9669838462
2,4,aug,wed,4.533674184,111.2,654.1,2.360854001,20.5,35,4.0,False,0.9707789172
7,4,sep,fri,4.536891345,117.9,668.0,2.58021683,19.0,34,5.8,False,0.9895411936
7,4,mar,mon,4.511957804,39.7,86.6,1.974081026,16.1,29,3.1,False,1.011600912
6,4,aug,thu,4.566429358,131.7,578.8,2.433613355,20.3,41,4.0,False,1.064710737
6,3,mar,sat,4.517431272,50.1,100.4,2.174751721,15.2,31,8.5,False,1.078409581
8,6,sep,sat,4.537961436,121.1,674.4,2.261763098,17.8,56,1.8,False,1.08180517
8,5,sep,sun,4.507557357,90.0,704.4,1.757857918,17.8,67,2.2,False,1.101940079
6,5,mar,thu,4.453183829,18.2,55.0,1.386294361,5.3,70,4.5,False,1.1442228
6,5,aug,wed,4.533674184,111.2,654.1,2.360854001,16.6,47,0.9,False,1.190887565
6,5,aug,wed,4.574710979,127.1,570.5,2.862200881,23.4,33,4.5,False,1.255616037
6,5,mar,fri,4.523960131,48.3,97.8,2.602689685,14.6,26,9.4,False,1.261297871
8,6,aug,thu,4.566429358,131.7,578.8,2.433613355,20.7,45,2.2,False,1.266947603
5,4,sep,wed,4.542230386,133.3,699.6,2.32238772,21.9,35,1.8,False,1.272565596
8,6,aug,wed,4.461299816,90.4,609.6,2.028148247,17.4,50,4.0,False,1.305626458
7,4,aug,sun,4.526126979,142.4,601.4,2.451005098,20.1,39,5.4,False,1.319085611
4,4,sep,mon,4.520701029,126.5,686.5,2.079441542,17.7,39,2.2,False,1.403642999
1,4,aug,sat,4.513054897,96.9,624.2,2.292534757,14.2,53,1.8,False,1.504077397
1,4,aug,sat,4.513054897,96.9,624.2,2.292534757,20.3,39,4.9,False,1.710187816
6,5,apr,thu,4.412798293,9.1,55.2,1.30833282,5.8,54,5.8,False,1.72455072
2,5,aug,sun,4.513054897,99.6,631.2,1.987874348,19.2,44,2.7,False,1.738710248
2,5,sep,wed,4.511957804,82.9,735.7,1.974081026,18.3,45,2.2,False,1.771556762
8,6,aug,tue,4.497584975,147.3,614.5,2.302585093,14.4,66,5.4,False,1.829376333
1,3,sep,sun,4.536891345,124.1,680.7,2.251291799,23.9,32,6.7,False,1.845300236
8,6,oct,mon,4.453183829,32.8,664.2,1.386294361,19.1,32,4.0,False,1.86252854
5,4,feb,sun,4.475061501,15.6,48.3,1.589235205,12.4,53,2.2,False,1.998773639
7,4,oct,mon,4.529368473,48.5,696.1,2.493205453,16.8,45,4.5,False,2.05796251
8,6,aug,fri,4.552823706,135.7,586.7,2.778819272,20.8,34,4.9,False,2.074429
2,5,sep,tue,4.521788577,129.5,692.6,2.079441542,17.6,46,3.1,False,2.084429083
8,6,mar,sun,4.50313746,51.3,102.2,2.360854001,11.5,39,5.8,False,2.102913898
1,5,sep,mon,4.520701029,126.5,686.5,2.079441542,21.0,42,2.2,False,2.116255515
6,4,mar,sat,4.519612298,41.9,89.4,2.186051277,13.3,42,0.9,False,2.128231706
7,4,mar,sun,4.518522379,44.0,92.4,1.871802177,11.5,60,4.0,False,2.223541886
6,5,mar,fri,4.523960131,48.3,97.8,2.602689685,11.7,33,4.0,False,2.231089091
2,5,aug,thu,4.566429358,131.7,578.8,2.433613355,24.2,28,2.7,False,2.270061901
2,2,aug,tue,4.562262685,108.3,647.1,2.890371758,24.6,22,4.5,False,2.273156282
4,5,sep,wed,4.542230386,133.3,699.6,2.32238772,24.3,25,4.0,False,2.342766883
2,2,aug,tue,4.562262685,108.3,647.1,2.890371758,24.6,22,4.5,False,2.398803951
2,5,aug,fri,4.552823706,135.7,586.7,2.778819272,23.5,36,5.4,False,2.399711804
6,5,apr,thu,4.412798293,9.1,55.2,1.30833282,5.8,54,5.8,False,2.479056236
4,5,sep,thu,4.542230386,137.0,706.4,2.32238772,21.5,15,0.9,False,2.489894191
3,4,sep,tue,4.521788577,129.5,692.6,2.079441542,13.9,59,6.3,False,2.504709277
1,5,sep,tue,4.521788577,129.5,692.6,2.079441542,21.6,33,2.2,False,2.528125769
6,5,mar,sun,4.511957804,37.6,83.7,2.104134154,12.4,54,3.6,False,2.57261223
7,4,feb,sun,4.441474093,8.7,32.1,1.131402111,8.8,68,2.2,False,2.642622396
8,6,oct,wed,4.526126979,37.9,673.8,1.824549292,20.2,37,2.7,False,2.687847494
5,6,mar,sat,4.517431272,50.1,100.4,2.174751721,15.1,64,4.0,False,2.707383312
4,5,sep,thu,4.542230386,137.0,706.4,2.32238772,22.1,34,1.8,False,2.745345986
2,2,aug,sat,4.548599834,139.4,594.2,3.058707073,22.9,31,7.2,False,2.800325477
7,5,sep,tue,4.521788577,129.5,692.6,2.079441542,20.7,37,2.2,False,2.901421594
6,5,sep,fri,4.536891345,117.9,668.0,2.58021683,19.6,33,6.3,False,3.007166651
8,3,sep,thu,4.550714,80.9,685.2,2.939161922,23.2,26,4.9,False,3.194992884
4,4,oct,sat,4.517431272,43.7,686.9,2.041220329,18.4,25,3.1,False,3.228033763
7,4,aug,sat,4.548599834,139.4,594.2,3.058707073,5.1,96,5.8,False,3.295836866
7,4,sep,fri,4.557029811,85.1,692.3,2.827313622,20.1,47,4.9,False,3.300640127
7,3,mar,mon,4.484131858,52.2,103.8,1.791759469,11.0,46,5.8,False,3.34462703
4,4,mar,sat,4.529368473,35.8,80.8,2.174751721,17.0,27,4.9,False,3.389799337
4,4,mar,sat,4.529368473,35.8,80.8,2.174751721,17.0,27,4.9,False,3.389799337
4,4,sep,sun,4.536891345,124.1,680.7,2.251291799,16.9,60,1.3,False,3.417070731
1,3,sep,mon,4.49535532,91.8,709.9,2.091864062,12.4,73,6.3,False,3.444256871
4,5,sep,wed,4.542230386,133.3,699.6,2.32238772,19.4,19,1.3,False,3.487986512
6,5,mar,mon,4.511957804,39.7,86.6,1.974081026,15.2,27,3.1,False,3.492256113
8,6,aug,sun,4.513054897,99.6,631.2,1.987874348,16.2,59,3.1,False,3.498626527
3,4,sep,fri,4.54648119,141.2,713.9,2.701361213,18.6,49,3.6,False,3.607669399
4,3,mar,mon,4.484131858,52.2,103.8,1.791759469,11.0,46,5.8,False,3.63363098
2,2,jul,fri,4.492001488,150.3,309.9,2.054123734,13.4,79,3.6,False,3.638112337
7,4,sep,wed,4.511957804,82.9,735.7,1.974081026,15.4,57,4.5,False,3.656097965
4,4,sep,sun,4.548599834,149.3,728.6,2.208274414,22.9,39,4.9,False,3.902982261
7,5,oct,mon,4.529368473,48.5,696.1,2.493205453,16.1,44,4.0,False,3.91939576
8,6,aug,sat,4.534747722,81.8,480.8,2.557227311,20.1,34,4.5,False,4.082609306
4,6,sep,sun,4.548599834,149.3,728.6,2.208274414,28.3,26,3.1,False,4.175924549
8,6,aug,sat,4.534747722,81.8,480.8,2.557227311,16.4,43,4.0,False,4.280824129
4,4,sep,wed,4.542230386,133.3,699.6,2.32238772,26.4,21,4.5,False,4.494126887
1,5,sep,sun,4.548599834,149.3,728.6,2.208274414,27.8,27,3.1,False,4.566221436
6,4,sep,tue,4.521788577,129.5,692.6,2.079441542,18.7,43,2.7,False,4.648133885
9,4,sep,tue,4.447346101,73.4,671.9,1.435084525,24.3,36,3.1,False,4.669646205
4,5,sep,sat,4.537961436,121.1,674.4,2.261763098,17.7,25,3.1,False,5.04908648
8,6,aug,sun,4.526126979,142.4,601.4,2.451005098,19.6,41,5.8,False,5.285637313
2,2,sep,sat,4.537961436,121.1,674.4,2.261763098,18.2,46,1.8,False,5.307970624
1,2,sep,tue,4.521788577,129.5,692.6,2.079441542,18.8,40,2.2,False,5.36541511
6,5,sep,sat,4.537961436,121.1,674.4,2.261763098,25.1,27,4.0,False,6.995619625
7,5,apr,sun,4.417635062,3.0,7.9,1.504077397,13.4,75,1.8,False,0.0
6,3,apr,wed,4.48863637,17.2,43.5,1.568615918,15.2,51,2.7,False,0.0
4,4,apr,fri,4.430816799,23.3,85.3,1.193922468,16.7,20,3.1,False,0.0
2,4,aug,sun,4.555979942,122.3,589.9,2.63188884,15.4,66,4.0,False,2.409644165
7,4,aug,sun,4.53044664,175.1,700.7,2.694627181,21.9,73,7.6,True,0.0
2,4,aug,sun,4.53044664,175.1,700.7,2.694627181,22.4,54,7.6,False,1.353254507
3,4,aug,sun,4.53044664,175.1,700.7,2.694627181,26.8,38,6.3,False,0.5653138091
5,4,aug,sun,4.53044664,175.1,700.7,2.694627181,25.7,39,5.4,False,0.08617769624
2,4,aug,wed,4.534747722,91.6,503.6,2.360854001,20.7,70,2.2,False,0.5596157879
8,6,aug,wed,4.544358047,157.3,666.7,2.674148649,28.7,28,2.7,False,0.0
3,4,aug,wed,4.544358047,157.3,666.7,2.674148649,21.7,40,0.4,False,1.244154594
8,5,aug,wed,4.544358047,157.3,666.7,2.674148649,26.8,25,3.1,False,0.5187937934
8,5,aug,wed,4.544358047,157.3,666.7,2.674148649,24.0,36,3.1,False,0.2151113796
6,5,aug,wed,4.544358047,157.3,666.7,2.674148649,22.1,37,3.6,False,0.1906203596
7,4,aug,thu,4.531523646,109.2,565.5,2.197224577,21.4,38,2.7,False,0.9242589015
6,3,aug,thu,4.528289142,138.1,621.7,1.987874348,18.9,41,3.1,False,2.428336298
2,5,aug,thu,4.483002552,77.0,694.8,1.791759469,22.3,46,4.0,False,0.0
8,6,aug,sat,4.555979942,117.2,581.1,2.48490665,23.9,41,2.2,False,2.199444334
4,3,aug,sat,4.555979942,117.2,581.1,2.48490665,21.4,44,2.7,False,0.5187937934
3,4,aug,sat,4.53044664,170.9,692.3,2.687847494,20.6,59,0.9,False,0.0
7,4,aug,sat,4.53044664,170.9,692.3,2.687847494,23.7,40,1.8,False,0.8671004877
2,4,aug,mon,4.549657476,97.9,542.0,2.734367509,28.3,32,4.0,False,2.287471455
3,4,aug,fri,4.528289142,112.4,573.0,2.292534757,11.2,84,7.6,False,1.458615023
2,4,aug,fri,4.528289142,112.4,573.0,2.292534757,21.4,42,3.1,False,1.658228077
6,3,aug,fri,4.522874943,141.1,629.1,2.091864062,19.3,39,3.6,False,0.9400072585
4,4,aug,fri,4.557029811,167.6,684.4,2.63905733,21.8,53,3.1,False,2.020222182
4,4,aug,tue,4.550714,102.2,550.3,2.747270914,22.1,54,7.6,False,0.5822156199
6,5,aug,tue,4.557029811,131.7,607.1,3.165475048,19.4,55,4.0,False,0.1570037488
2,2,aug,tue,4.533674184,152.6,658.2,2.727852828,23.7,24,3.1,False,0.0
3,4,aug,tue,4.533674184,152.6,658.2,2.727852828,21.0,32,3.1,False,0.0
4,4,aug,tue,4.533674184,152.6,658.2,2.727852828,19.1,53,2.7,False,1.686398954
2,2,aug,tue,4.533674184,152.6,658.2,2.727852828,21.8,56,3.1,False,0.4187103349
8,6,aug,tue,4.533674184,152.6,658.2,2.727852828,20.1,58,4.5,False,2.329227024
2,5,aug,tue,4.533674184,152.6,658.2,2.727852828,20.2,47,4.0,False,1.40854497
4,6,dec,sun,4.447346101,27.2,353.5,2.054123734,4.8,57,8.5,False,2.30058309
8,6,dec,wed,4.442651256,27.8,354.6,1.840549633,5.1,61,8.0,False,2.500615943
4,6,dec,thu,4.449685283,26.4,352.0,1.098612289,5.1,61,4.9,False,1.853168097
4,4,dec,mon,4.458987676,25.4,349.7,1.280933845,4.6,21,8.5,False,2.936512914
3,4,dec,mon,4.458987676,25.4,349.7,1.280933845,4.6,21,8.5,False,2.462149663
4,4,dec,mon,4.458987676,25.4,349.7,1.280933845,4.6,21,8.5,False,3.136797714
4,4,dec,mon,4.458987676,25.4,349.7,1.280933845,4.6,21,8.5,False,2.376764491
4,6,dec,fri,4.450852826,26.7,352.6,1.62924054,2.2,59,4.9,False,2.329227024
6,5,dec,tue,4.458987676,25.4,349.7,1.280933845,5.1,24,8.5,False,3.249211025
6,3,feb,sun,4.453183829,27.5,353.5,1.481604541,4.2,51,4.0,False,0.0
3,4,feb,wed,4.476199805,6.6,18.7,1.435084525,8.8,35,3.1,False,0.7419373447
5,4,feb,fri,4.456670178,4.9,15.8,1.987874348,7.5,46,8.0,False,3.228430038
2,5,jul,sun,4.552823706,169.7,411.8,2.587764035,23.4,40,6.3,False,0.0
7,6,jul,wed,4.523960131,183.1,437.7,2.602689685,12.6,90,7.6,True,0.0
7,4,jul,sat,4.528289142,104.2,474.9,2.302585093,22.1,49,2.7,False,0.0
7,4,jul,sat,4.528289142,104.2,474.9,2.302585093,24.2,32,1.8,False,0.0
7,4,jul,sat,4.528289142,104.2,474.9,2.302585093,24.3,30,1.8,False,0.0
2,5,jul,sat,4.528289142,104.2,474.9,2.302585093,18.7,53,1.8,False,0.0
9,4,jul,sat,4.528289142,104.2,474.9,2.302585093,25.3,39,0.9,False,2.197224577
4,5,jul,fri,4.528289142,100.2,466.3,1.987874348,22.9,40,1.3,False,1.291983682
7,6,jul,tue,4.544358047,180.4,430.8,2.48490665,26.9,28,5.4,False,4.471067201
8,6,jul,tue,4.535820108,88.8,440.9,2.251291799,17.1,67,3.6,False,2.024193067
7,5,jun,sun,4.544358047,180.4,430.8,2.48490665,22.2,48,1.3,False,0.0
6,4,jun,sun,4.515245478,89.5,290.8,2.00148,14.3,46,1.8,False,0.6418538862
8,6,jun,sun,4.515245478,89.5,290.8,2.00148,15.4,45,2.2,False,0.0
8,6,jun,wed,4.523960131,147.8,377.2,2.617395833,19.6,43,4.9,False,0.0
